region,N,share,nace2
6,2,0.0027434842249657062,65
5,1,0.0013717421124828531,65
1,2936,0.4449158963479315,66
NA,764,0.11577511744203667,66
2,518,0.07849674193059554,66
7,515,0.07804212759509016,66
6,504,0.07637520836490377,66
3,493,0.07470828913471739,66
4,466,0.07061676011516896,66
5,403,0.06106985906955599,66
NA,677,0.9985250737463127,67
6,1,0.0014749262536873156,67
1,23218,0.6163525351738784,68
3,3111,0.08258561189275285,68
2,2485,0.06596761348553225,68
7,2073,0.05503052827183435,68
6,2064,0.054791611361826385,68
4,1931,0.051260950358375364,68
5,1419,0.03766923281125564,68
NA,1369,0.03634191664454473,68
1,7993,0.5137219615656533,69
7,1313,0.08438845684169934,69
6,1252,0.08046789639436981,69
2,1201,0.07719005077447137,69
3,1066,0.06851340060415194,69
4,931,0.059836750433832506,69
5,912,0.05861559226171348,69
NA,891,0.05726589112410823,69
1,13188,0.6657915993537964,70
2,1061,0.05356421647819063,70
6,1002,0.05058562197092084,70
7,996,0.050282714054927305,70
3,983,0.049626413570274634,70
NA,955,0.04821284329563812,70
4,826,0.041700323101777056,70
5,797,0.04023626817447496,70
1,8289,0.5151967182547081,71
3,1302,0.08092485549132948,71
2,1297,0.08061408415687737,71
7,1159,0.07203679532599913,71
6,1152,0.07160171545776618,71
4,1014,0.06302442662688794,71
5,952,0.05917086207968177,71
NA,924,0.05743054260674995,71
1,1772,0.4732905982905983,72
NA,738,0.1971153846153846,72
7,282,0.07532051282051282,72
6,260,0.06944444444444445,72
2,208,0.05555555555555555,72
4,180,0.04807692307692308,72
5,161,0.04300213675213675,72
3,143,0.03819444444444445,72
1,3416,0.602681721947777,73
NA,742,0.1309103740296401,73
7,304,0.053634438955539876,73
2,272,0.04798870853916726,73
3,267,0.047106563161609036,73
6,253,0.044636556104446015,73
4,235,0.04146083274523642,73
5,179,0.031580804516584335,73
1,3874,0.5301765430409197,74
NA,765,0.1046941289174764,74
7,507,0.06938552073354318,74
2,496,0.0678801149582592,74
6,479,0.06555357876009306,74
3,477,0.06527986861913233,74
4,397,0.05433146298070343,74
5,312,0.042698781989872724,74
NA,692,0.48766737138830163,75
1,290,0.204369274136716,75
6,90,0.06342494714587738,75
2,84,0.05919661733615222,75
7,78,0.05496828752642706,75
3,69,0.048625792811839326,75
4,58,0.0408738548273432,75
5,58,0.0408738548273432,75
NA,677,0.9970544918998527,76
2,1,0.0014727540500736377,76
6,1,0.0014727540500736377,76
1,1847,0.45695200395843644,77
NA,740,0.1830776843146957,77
3,306,0.07570509648688768,77
2,288,0.07125185551707075,77
7,241,0.05962394854032657,77
6,236,0.05838693715982187,77
5,204,0.050470064324591786,77
4,180,0.044532409698169226,77
1,748,0.38636363636363635,78
NA,702,0.36260330578512395,78
2,107,0.05526859504132232,78
