var1,var2,cor,nace2
pretax,age,0.07538268445435672,13
persexp_clean,age,0.1754786979330729,13
satok,age,0.19768236743429274,13
export_value,age,-0.07431391265482368,13
ereduzem,age,0.10002694477462254,13
emp,age,0.18540434130301808,13
liabilities,age,0.09273950596236791,13
age,tanass_clean,0.18577267578364612,13
tanass_clean,tanass_clean,1,13
eszk,tanass_clean,0.9089940515911256,13
sales_clean,tanass_clean,0.7418086321905041,13
pretax,tanass_clean,0.058574700096050356,13
persexp_clean,tanass_clean,0.6260185835848113,13
satok,tanass_clean,0.8232709647852072,13
export_value,tanass_clean,0.6039540045656051,13
ereduzem,tanass_clean,0.17415330567279555,13
emp,tanass_clean,0.46956064323982866,13
liabilities,tanass_clean,0.7630069549851233,13
age,eszk,0.18016855488789046,13
tanass_clean,eszk,0.9089940515911256,13
eszk,eszk,1,13
sales_clean,eszk,0.8838167934233992,13
pretax,eszk,0.30088284405378135,13
persexp_clean,eszk,0.7151806660976241,13
satok,eszk,0.9227096248077372,13
export_value,eszk,0.7729786403344822,13
ereduzem,eszk,0.39888605750651734,13
emp,eszk,0.5095512648612707,13
liabilities,eszk,0.8179550136254042,13
age,sales_clean,0.10481328906887373,13
tanass_clean,sales_clean,0.7418086321905041,13
eszk,sales_clean,0.8838167934233992,13
sales_clean,sales_clean,1,13
pretax,sales_clean,0.383385572782049,13
persexp_clean,sales_clean,0.6096039229179953,13
satok,sales_clean,0.779544200959896,13
export_value,sales_clean,0.9659519071039444,13
ereduzem,sales_clean,0.4610097433012399,13
emp,sales_clean,0.2941093040726381,13
liabilities,sales_clean,0.8007530703430342,13
age,pretax,0.07538268445435672,13
tanass_clean,pretax,0.058574700096050356,13
eszk,pretax,0.30088284405378135,13
sales_clean,pretax,0.383385572782049,13
pretax,pretax,1,13
persexp_clean,pretax,0.06255086128723063,13
satok,pretax,0.38176551465755654,13
export_value,pretax,0.3378134185422194,13
ereduzem,pretax,0.9548699994566207,13
emp,pretax,0.06692260072035704,13
liabilities,pretax,0.10837767375851731,13
age,persexp_clean,0.1754786979330729,13
tanass_clean,persexp_clean,0.6260185835848113,13
eszk,persexp_clean,0.7151806660976241,13
sales_clean,persexp_clean,0.6096039229179953,13
pretax,persexp_clean,0.06255086128723063,13
persexp_clean,persexp_clean,1,13
satok,persexp_clean,0.6645107798281621,13
export_value,persexp_clean,0.2786827218631247,13
ereduzem,persexp_clean,0.1287700493689134,13
emp,persexp_clean,0.9017630215997424,13
liabilities,persexp_clean,0.5210889754607494,13
age,satok,0.19768236743429274,13
tanass_clean,satok,0.8232709647852072,13
eszk,satok,0.9227096248077372,13
sales_clean,satok,0.779544200959896,13
pretax,satok,0.38176551465755654,13
persexp_clean,satok,0.6645107798281621,13
satok,satok,1,13
export_value,satok,0.6353956796211877,13
ereduzem,satok,0.4567742788176195,13
emp,satok,0.4912177075353467,13
liabilities,satok,0.5372629265227703,13
age,export_value,-0.07431391265482368,13
tanass_clean,export_value,0.6039540045656051,13
eszk,export_value,0.7729786403344822,13
sales_clean,export_value,0.9659519071039444,13
pretax,export_value,0.3378134185422194,13
persexp_clean,export_value,0.2786827218631247,13
satok,export_value,0.6353956796211877,13
export_value,export_value,1,13
ereduzem,export_value,0.4036908753225075,13
emp,export_value,0.022996774973339493,13
liabilities,export_value,0.7107073244774382,13
age,ereduzem,0.10002694477462254,13
tanass_clean,ereduzem,0.17415330567279555,13
eszk,ereduzem,0.39888605750651734,13
sales_clean,ereduzem,0.4610097433012399,13
pretax,ereduzem,0.9548699994566207,13
persexp_clean,ereduzem,0.1287700493689134,13
satok,ereduzem,0.4567742788176195,13
export_value,ereduzem,0.4036908753225075,13
ereduzem,ereduzem,1,13
emp,ereduzem,0.07999697565338641,13
liabilities,ereduzem,0.21411987764724486,13
age,emp,0.18540434130301808,13
tanass_clean,emp,0.46956064323982866,13
eszk,emp,0.5095512648612707,13
sales_clean,emp,0.2941093040726381,13
pretax,emp,0.06692260072035704,13
persexp_clean,emp,0.9017630215997424,13
satok,emp,0.4912177075353467,13
export_value,emp,0.022996774973339493,13
ereduzem,emp,0.07999697565338641,13
emp,emp,1,13
liabilities,emp,0.30216894858241017,13
age,liabilities,0.09273950596236791,13
tanass_clean,liabilities,0.7630069549851233,13
eszk,liabilities,0.8179550136254042,13
sales_clean,liabilities,0.8007530703430342,13
pretax,liabilities,0.10837767375851731,13
persexp_clean,liabilities,0.5210889754607494,13
satok,liabilities,0.5372629265227703,13
export_value,liabilities,0.7107073244774382,13
ereduzem,liabilities,0.21411987764724486,13
emp,liabilities,0.30216894858241017,13
liabilities,liabilities,1,13
age,age,1,14
tanass_clean,age,0.1960909879835172,14
eszk,age,0.16970413307659227,14
sales_clean,age,0.08445546685716332,14
pretax,age,0.061522340556840895,14
persexp_clean,age,0.19606033196560338,14
satok,age,0.22762738783853087,14
export_value,age,-0.02105612049936436,14
ereduzem,age,0.06248781127546232,14
emp,age,0.21649726222670604,14
liabilities,age,0.08681192286738439,14
age,tanass_clean,0.1960909879835172,14
tanass_clean,tanass_clean,1,14
eszk,tanass_clean,0.9258526310715192,14
sales_clean,tanass_clean,0.5295700885526968,14
pretax,tanass_clean,0.48040594426103417,14
persexp_clean,tanass_clean,0.6930461313679132,14
satok,tanass_clean,0.8970512122187319,14
export_value,tanass_clean,0.19134699507908975,14
ereduzem,tanass_clean,0.4995971817889218,14
emp,tanass_clean,0.5874696847730893,14
liabilities,tanass_clean,0.7882292228728963,14
age,eszk,0.16970413307659227,14
tanass_clean,eszk,0.9258526310715192,14
eszk,eszk,1,14
sales_clean,eszk,0.7520283268843093,14
